energy_centers,transmission_bigaperture_15um,effectivearea_bigaperture_15um,effectivearea_smallaperture_50um,transmission_smallaperture_50um,energy_widths
10.26875114440918,0.9677638263451019,0.009677638047138948,0.0001930493247284577,0.9652466480264699,0.037499427795410156
10.30625057220459,0.9667521743614086,0.009667521527528136,0.00019285378191679606,0.9642689339434625,0.03750038146972656
10.34375,0.9655555074663863,0.009655554858845389,0.00019262078947178594,0.9631039716889824,0.037499427795410156
10.381250381469727,0.9642826877056533,0.009642826661522556,0.00019237238284502086,0.9618619385237807,0.03750038146972656
10.418750762939453,0.9630098679449203,0.009630098464199724,0.00019212397621825577,0.9606199053585789,0.03750038146972656
10.45625114440918,0.9617370481841873,0.00961737026687689,0.00019187556959149072,0.9593778721933771,0.037499427795410156
10.49375057220459,0.9604642607926054,0.009604642393245563,0.00019162716928196858,0.9581358706143909,0.03750038146972656
10.53125,0.9591914734010235,0.009591914519614234,0.00019137876897244645,0.9568938690354046,0.037499427795410156
10.568750381469727,0.9579186536402905,0.0095791863222914,0.00019113036234568137,0.9556518358702029,0.03750038146972656
10.606250762939453,0.956590655606138,0.009565906342246706,0.00019087075993703568,0.9543538237941839,0.03750038146972656
10.64375114440918,0.9551116670818741,0.009551116457334648,0.00019058052125638325,0.9529026303542615,0.037499427795410156
10.68125057220459,0.9536327161698508,0.009536326948544985,0.00019029028995680707,0.9514514738197213,0.03750038146972656
10.71875,0.9521537652578275,0.009521537439755324,0.0001900000586572309,0.9500003172851812,0.037499427795410156
10.756250381469727,0.9506747767335635,0.009506747554843263,0.00018970981997657848,0.9485491238452588,0.03750038146972656
10.793750762939453,0.9491957882092996,0.009491957669931205,0.00018941958129592608,0.9470979304053365,0.03750038146972656
10.83125114440918,0.9477167996850357,0.009477167785019145,0.00018912934261527365,0.9456467369654141,0.037499427795410156
10.86875057220459,0.9462378487730124,0.009462378276229484,0.0001888391113156975,0.944195580430874,0.03750038146972656
10.90625,0.9446321076031257,0.009446320864889527,0.00018852315836988078,0.9426158156618824,0.037499427795410156
10.943750381469727,0.9429550322848014,0.00942955011208114,0.00018819273427965824,0.9409636951690336,0.03750038146972656
10.981250762939453,0.9412779569664772,0.009412779359272753,0.00018786231018943573,0.9393115746761849,0.03750038146972656
11.01875114440918,0.9396008816481529,0.009396008606464366,0.0001875318860992132,0.9376594541833362,0.037499427795410156
11.05625057220459,0.9379238489796258,0.009379238280153942,0.00018720147041202434,0.9360073757056568,0.03750038146972656
11.09375,0.9362468163110985,0.009362467953843514,0.0001868710547248355,0.9343552972279776,0.037499427795410156
11.131250381469727,0.9345697409927743,0.009345697201035128,0.00018654063063461296,0.9327031767351288,0.03750038146972656
11.168750762939453,0.9328926656744501,0.00932892644822674,0.00018621020654439042,0.9310510562422801,0.03750038146972656
11.20625114440918,0.9310602191308067,0.009310601983199891,0.00018584832754065073,0.9292416611778725,0.037499427795410156
11.24375057220459,0.9291820753966803,0.009291820546278425,0.00018547719690664488,0.9273860079609655,0.03750038146972656
11.28125,0.9273039316625539,0.009273039109356958,0.000185106066272639,0.9255303547440583,0.037499427795410156
11.318750381469727,0.9254257401640335,0.009254257194791563,0.000184734926200149,0.9236746543347295,0.03750038146972656
11.356250762939453,0.923547548665513,0.009235475280226167,0.00018436378612765903,0.9218189539254006,0.03750038146972656
11.39375114440918,0.9216693571669927,0.009216693365660772,0.00018399264605516903,0.9199632535160717,0.037499427795410156
11.43125057220459,0.9197912134328663,0.009197911928739306,0.00018362151542116313,0.9181076002991645,0.03750038146972656
11.46875,0.9179130696987398,0.009179130491817839,0.00018325038478715728,0.9162519470822574,0.037499427795410156
11.506250381469727,0.9158994553629524,0.009158994348910042,0.00018285183081989366,0.9142591771955978,0.03750038146972656
11.543750762939453,0.9138327248187227,0.009138327043929697,0.00018244252444056723,0.9122126452472659,0.03750038146972656
11.58125114440918,0.911765994274493,0.00911765973894935,0.00018203321806124081,0.910166113298934,0.037499427795410156
11.61875057220459,0.9096993162894044,0.009096992959560402,0.00018162392209100802,0.9081196333960716,0.03750038146972656
11.65625,0.9076326383043157,0.009076326180171453,0.0001812146261207752,0.9060731534932092,0.037499427795410156
11.693750381469727,0.905565907760086,0.009055658875191107,0.00018080531974144879,0.9040266215448773,0.03750038146972656
11.731250762939453,0.9034991772158564,0.00903499157021076,0.00018039601336212235,0.9019800895965454,0.03750038146972656
11.76875114440918,0.9014324466716267,0.009014324265230415,0.00017998670698279594,0.8999335576482136,0.037499427795410156
11.80625057220459,0.8992901523268326,0.008992901322261314,0.00017956209567283722,0.8978105010447871,0.03750038146972656
11.84375,0.897055689742682,0.008970556696919249,0.00017911881660495968,0.8955941056494084,0.037499427795410156
11.881250381469727,0.8948211703323422,0.008948211503315305,0.00017867552626374045,0.89337765388732,0.03750038146972656
11.918750762939453,0.8925866509220024,0.00892586630971136,0.00017823223592252122,0.8911612021252316,0.03750038146972656
11.95625114440918,0.8903521315116627,0.008903521116107418,0.000177788945581302,0.8889447503631432,0.037499427795410156
11.99375057220459,0.8881176689275121,0.008881176490765353,0.00017734566651342445,0.8867283549677647,0.03750038146972656
12.03125,0.8858832063433615,0.008858831865423288,0.0001769023874455469,0.884511959572386,0.037499427795410156
